		지역번호,지역명,일시,평균습도(%rh),최저습도(%rh),최저습도지점,,,
0,전국, 2019-03-31,48,17,정읍,광양시,거제,
0,전국, 2019-03-30,67,13,서귀포,,,
0,전국, 2019-03-29,54,12,강진군,,,
0,전국, 2019-03-28,63,10,양평,,,
0,전국, 2019-03-27,57,5,구미,,,
0,전국, 2019-03-26,55,5,천안,,,
0,전국, 2019-03-25,58,21,울산,,,
0,전국, 2019-03-24,51,14,영천,밀양,,
0,전국, 2019-03-23,54,8,거제,,,
0,전국, 2019-03-22,52,11,북춘천,,,
0,전국, 2019-03-21,74,25,밀양,,,
0,전국, 2019-03-20,74,19,의성,,,
0,전국, 2019-03-19,54,9,진도(첨찰산),,,
0,전국, 2019-03-18,51,2,천안,,,
0,전국, 2019-03-17,57,8,천안,,,
0,전국, 2019-03-16,65,21,서귀포,,,
0,전국, 2019-03-15,69,15,성산,,,
0,전국, 2019-03-14,47,5,거제,,,
0,전국, 2019-03-13,40,7,북춘천,천안,,
0,전국, 2019-03-12,65,13,북춘천,,,
0,전국, 2019-03-11,74,23,울산,밀양,,
0,전국, 2019-03-10,67,9,원주,,,
0,전국, 2019-03-09,49,5,북강릉,천안,,
0,전국, 2019-03-08,58,5,천안,구미,,
0,전국, 2019-03-07,65,23,북춘천,서귀포,,
0,전국, 2019-03-06,63,20,봉화,,,
0,전국, 2019-03-05,62,17,영천,,,
0,전국, 2019-03-04,58,12,천안,,,
0,전국, 2019-03-03,55,9,이천,,,
0,전국, 2019-03-02,57,7,천안,,,
0,전국, 2019-03-01,58,11,태백,광양시,남해,
0,전국, 2019-02-28,63,21,양평,,,
0,전국, 2019-02-27,65,14,양평,,,
0,전국, 2019-02-26,53,1,창원,,,
0,전국, 2019-02-25,59,10,창원,광양시,,
0,전국, 2019-02-24,61,15,강릉,,,
0,전국, 2019-02-23,63,11,천안,,,
0,전국, 2019-02-22,65,19,장수,,,
0,전국, 2019-02-21,68,21,진주,,,
0,전국, 2019-02-20,68,27,진주,,,
0,전국, 2019-02-19,89,19,울진,,,
0,전국, 2019-02-18,48,7,거제,,,
0,전국, 2019-02-17,49,10,천안,밀양,,
0,전국, 2019-02-16,56,22,밀양,,,
0,전국, 2019-02-15,63,11,합천,,,
0,전국, 2019-02-14,50,8,광주,,,
0,전국, 2019-02-13,41,14,북춘천,양평,,
0,전국, 2019-02-12,50,16,서귀포,,,
0,전국, 2019-02-11,41,11,북강릉,강릉,,
0,전국, 2019-02-10,42,9,천안,,,
0,전국, 2019-02-09,38,11,진주,,,
0,전국, 2019-02-08,39,6,봉화,,,
0,전국, 2019-02-07,53,9,창원,,,
0,전국, 2019-02-06,60,10,태백,,,
0,전국, 2019-02-05,49,8,천안,,,
0,전국, 2019-02-04,42,9,천안,,,
0,전국, 2019-02-03,89,32,강릉,,,
0,전국, 2019-02-02,63,24,속초,울산,,
0,전국, 2019-02-01,56,12,봉화,,,
0,전국, 2019-01-31,63,12,동두천,이천,,
0,전국, 2019-01-30,48,5,구미,,,
0,전국, 2019-01-29,48,9,정선군,,,
0,전국, 2019-01-28,48,3,동해,,,
0,전국, 2019-01-27,51,6,속초,,,
0,전국, 2019-01-26,40,3,서귀포,,,
0,전국, 2019-01-25,44,9,북강릉,,,
0,전국, 2019-01-24,43,1,천안,거제,,
0,전국, 2019-01-23,54,9,천안,,,
0,전국, 2019-01-22,59,16,북강릉,,,
0,전국, 2019-01-21,53,19,속초,북강릉,동해,울진
0,전국, 2019-01-20,49,11,영덕,의성,,
0,전국, 2019-01-19,62,8,태백,,,
0,전국, 2019-01-18,56,13,문경,,,
0,전국, 2019-01-17,55,10,천안,,,
0,전국, 2019-01-16,48,8,밀양,,,
0,전국, 2019-01-15,61,19,창원,,,
0,전국, 2019-01-14,71,13,울산,,,
0,전국, 2019-01-13,73,20,동두천,,,
0,전국, 2019-01-12,77,26,동두천,,,
0,전국, 2019-01-11,63,22,장수,,,
0,전국, 2019-01-10,51,3,강릉,,,
0,전국, 2019-01-09,40,5,속초,,,
0,전국, 2019-01-08,46,9,북강릉,,,
0,전국, 2019-01-07,53,12,속초,밀양,,
0,전국, 2019-01-06,46,6,창원,광양시,,
0,전국, 2019-01-05,49,9,밀양,,,
0,전국, 2019-01-04,53,8,구미,,,
0,전국, 2019-01-03,48,6,거제,,,
0,전국, 2019-01-02,53,7,북강릉,,,
0,전국, 2019-01-01,58,13,속초,북강릉,,
		,,,,,,,,
	,,,,,,,,
	,,,,,,,,
